Entrez	Symbol	Name	Length
8456	FOXN1	forkhead box N1	2788
9732	DOCK4	dedicator of cytokinesis 4	4810
112770	C1orf85	chromosome 1 open reading frame 85	1415.5
9665	KIAA0430	KIAA0430	7745
9422	ZNF264	zinc finger protein 264	12164
339324	ZNF260	zinc finger protein 260	5309
84913	ATOH8	atonal homolog 8 (Drosophila)	4633
9378	NRXN1	neurexin 1	4808
285512	FAM13A-AS1	FAM13A antisense RNA 1	3543.5
80194	TMEM134	transmembrane protein 134	1096
286101	ZNF252P	zinc finger protein 252, pseudogene	5325.5
222183	SRRM3	serine/arginine repetitive matrix 3	2831
387923	SERP2	stress-associated endoplasmic reticulum protein family member 2	897.5
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	7026
253461	ZBTB38	zinc finger and BTB domain containing 38	7838
8996	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	1491
253639	ZNF620	zinc finger protein 620	2144.5
92017	SNX29	sorting nexin 29	3813.5
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	7200
284390	ZNF763	zinc finger protein 763	2620.5
26005	C2CD3	C2 calcium-dependent domain containing 3	4053
158293	FAM120AOS	family with sequence similarity 120A opposite strand	1893
285989	ZNF789	zinc finger protein 789	1625
25981	DNAH1	dynein, axonemal, heavy chain 1	4671
146850	PIK3R6	phosphoinositide-3-kinase, regulatory subunit 6	3296
57610	RANBP10	RAN binding protein 10	5239
8439	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	3538
57496	MKL2	MKL/myocardin-like 2	7901
9555	H2AFY	H2A histone family, member Y	1892
100130557	LOC100130557	uncharacterized LOC100130557	3183
10099	TSPAN3	tetraspanin 3	1696.5
286103	ZNF252P-AS1	ZNF252P antisense RNA 1	3236
286467	LOC286467	family with sequence similarity 195, member A pseudogene	2306.5
160	AP2A1	adaptor-related protein complex 2, alpha 1 subunit	2905
728190	LOC728190	uncharacterized LOC728190	1333
54454	ATAD2B	ATPase family, AAA domain containing 2B	6916
50999	TMED5	transmembrane emp24 protein transport domain containing 5	4007
144348	ZNF664	zinc finger protein 664	4241
374864	CCDC178	coiled-coil domain containing 178	2971
84224	NBPF3	neuroblastoma breakpoint family, member 3	3762
128611	ZNF831	zinc finger protein 831	9406
23005	MAPKBP1	mitogen-activated protein kinase binding protein 1	7070
119548	PNLIPRP3	pancreatic lipase-related protein 3	2318
284276	LOC284276	uncharacterized LOC284276	2245
63950	DMRTA2	DMRT-like family A2	2968.5
29940	DSE	dermatan sulfate epimerase	3715
6720	SREBF1	sterol regulatory element binding transcription factor 1	4035
145820	LOC145820	uncharacterized LOC145820	2645
200205	IBA57	IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)	7721.5
126520	PLK5	polo-like kinase 5	1942
51029	DESI2	desumoylating isopeptidase 2	3995
5195	PEX14	peroxisomal biogenesis factor 14	1825
11196	SEC23IP	SEC23 interacting protein	3728
6249	CLIP1	CAP-GLY domain containing linker protein 1	2950
55604	LRRC16A	leucine rich repeat containing 16A	5338
404672	GTF2H5	general transcription factor IIH, polypeptide 5	7479
619279	ZNF704	zinc finger protein 704	4312
91661	ZNF765	zinc finger protein 765	4580
22897	CEP164	centrosomal protein 164kDa	3587.5
677844	SNORA78	small nucleolar RNA, H/ACA box 78	128
57560	IFT80	intraflagellar transport 80 homolog (Chlamydomonas)	4533
10390	CEPT1	choline/ethanolamine phosphotransferase 1	2222
120114	FAT3	FAT tumor suppressor homolog 3 (Drosophila)	13918.5
414777	HCG18	HLA complex group 18 (non-protein coding)	6604
132241	RPL32P3	ribosomal protein L32 pseudogene 3	2287
387357	THEMIS	thymocyte selection associated	3957
124402	UBALD1	UBA-like domain containing 1	1416
4296	MAP3K11	mitogen-activated protein kinase kinase kinase 11	2392.5
83608	C18orf21	chromosome 18 open reading frame 21	1002
27086	FOXP1	forkhead box P1	5622
126661	CCDC163P	coiled-coil domain containing 163, pseudogene	1008
54875	CNTLN	centlein, centrosomal protein	4955
5791	PTPRE	protein tyrosine phosphatase, receptor type, E	2453
79669	C3orf52	chromosome 3 open reading frame 52	2811.5
9813	EFCAB14	EF-hand calcium binding domain 14	3385.5
10801	SEPT9	septin 9	3712
5394	EXOSC10	exosome component 10	2754
255167	LOC255167	uncharacterized LOC255167	3019.5
284759	SIRPB2	signal-regulatory protein beta 2	2544
170506	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3593
4712	NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	843
51013	EXOSC1	exosome component 1	1055
100128288	LOC100128288	uncharacterized LOC100128288	2130
253018	HCG27	HLA complex group 27 (non-protein coding)	1721
115004	MB21D1	Mab-21 domain containing 1	1807
5062	PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	6152
81856	ZNF611	zinc finger protein 611	4514
96459	FNIP1	folliculin interacting protein 1	4753
9972	NUP153	nucleoporin 153kDa	5709
339390	CLEC4G	C-type lectin domain family 4, member G	1368
114794	ELFN2	extracellular leucine-rich repeat and fibronectin type III domain containing 2	4198.5
23030	KDM4B	lysine (K)-specific demethylase 4B	5383
57597	BAHCC1	BAH domain and coiled-coil containing 1	7733
25890	ABI3BP	ABI family, member 3 (NESH) binding protein	3695.5
6553	SLC9A5	solute carrier family 9, subfamily A (NHE5, cation proton antiporter 5), member 5	3750
26268	FBXO9	F-box protein 9	4696
388011	C14orf64	chromosome 14 open reading frame 64	2243
389170	LEKR1	leucine, glutamate and lysine rich 1	1944
57007	CXCR7	chemokine (C-X-C motif) receptor 7	2100
23223	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	3838
84263	HSDL2	hydroxysteroid dehydrogenase like 2	3008
283232	TMEM80	transmembrane protein 80	1602
219938	SPATA19	spermatogenesis associated 19	873
26155	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	2825.5
7994	KAT6A	K(lysine) acetyltransferase 6A	9213.5
100130581	LOC100130581	uncharacterized LOC100130581	2886
23177	CEP68	centrosomal protein 68kDa	4378
255027	MPV17L	MPV17 mitochondrial membrane protein-like	2277
401884	MGC57346	uncharacterized LOC401884	2355
5870	RAB6A	RAB6A, member RAS oncogene family	3251.5
112724	RDH13	retinol dehydrogenase 13 (all-trans/9-cis)	1292
440508	CLEC4GP1	C-type lectin domain family 4, member G pseudogene 1	1928
3845	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	5302
5663	PSEN1	presenilin 1	6019
338069	ST7-OT4	ST7 overlapping transcript 4 (non-protein coding)	1577
4802	NFYC	nuclear transcription factor Y, gamma	2126
353135	LCE1E	late cornified envelope 1E	1178
7428	VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	2891
1191	CLU	clusterin	2746
6310	ATXN1	ataxin 1	1700
378825	LINC00162	long intergenic non-protein coding RNA 162	729
203413	CXorf61	chromosome X open reading frame 61	520
340152	ZC3H12D	zinc finger CCCH-type containing 12D	2391
387640	SKIDA1	SKI/DACH domain containing 1	3774
8745	ADAM23	ADAM metallopeptidase domain 23	2773.5
79776	ZFHX4	zinc finger homeobox 4	9541.5
654254	ZNF732	zinc finger protein 732	1314.5
728606	LOC728606	uncharacterized LOC728606	2600
285888	CNPY1	canopy 1 homolog (zebrafish)	2238
117143	TADA1	transcriptional adaptor 1	2253
158035	LINC00032	long intergenic non-protein coding RNA 32	2928
440352	SNX29P2	sorting nexin 29 pseudogene 2	3704
388182	FLJ42289	uncharacterized LOC388182	2362.5
57613	KIAA1467	KIAA1467	3678.5
90411	MCFD2	multiple coagulation factor deficiency 2	4086
643210	FLJ40292	uncharacterized LOC643210	1750
220594	USP32P2	ubiquitin specific peptidase 32 pseudogene 2	4703
64150	DIO3OS	DIO3 opposite strand/antisense RNA (head to head)	708
92659	MAFG-AS1	MAFG antisense RNA 1 (head to head)	1896
11249	NXPH2	neurexophilin 2	2560
346389	MACC1	metastasis associated in colon cancer 1	9050.5
80006	TRAPPC13	trafficking protein particle complex 13	3096
1601	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	4364.5
84852	ATP1A1OS	ATP1A1 opposite strand	1601
79086	SMIM7	small integral membrane protein 7	1335
149643	C1orf227	chromosome 1 open reading frame 227	505
9066	SYT7	synaptotagmin VII	4538
78994	PRR14	proline rich 14	2131
54819	ZCCHC10	zinc finger, CCHC domain containing 10	2101.5
10485	C1orf61	chromosome 1 open reading frame 61	1042
55503	TRPV6	transient receptor potential cation channel, subfamily V, member 6	2909
57545	CC2D2A	coiled-coil and C2 domain containing 2A	1830.5
388815	LINC00478	long intergenic non-protein coding RNA 478	3412
57154	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	5677
255798	C3orf43	chromosome 3 open reading frame 43	1830
1238	CCBP2	chemokine binding protein 2	2879
4055	LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	2100
57568	SIPA1L2	signal-induced proliferation-associated 1 like 2	5100
10290	SPEG	SPEG complex locus	3688.5
4211	MEIS1	Meis homeobox 1	2767
55102	ATG2B	autophagy related 2B	11140
257358	LOC257358	uncharacterized LOC257358	2207
80723	SLC35G2	solute carrier family 35, member G2	1795
126364	LRRC25	leucine rich repeat containing 25	2167.5
441666	LOC441666	zinc finger protein 91 pseudogene	6663
2176	FANCC	Fanconi anemia, complementation group C	1742
2993	GYPA	glycophorin A (MNS blood group)	2567.5
5747	PTK2	protein tyrosine kinase 2	4145
646450	ARIH2OS	ariadne homolog 2 opposite strand	1599
93	ACVR2B	activin A receptor, type IIB	11422.5
286234	SPATA31E1	SPATA31 subfamily E, member 1	3357
84893	FBXO18	F-box protein, helicase, 18	3672.5
54455	FBXO42	F-box protein 42	2975.5
56981	PRDM11	PR domain containing 11	2236
2220	FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	1007.5
127495	LRRC39	leucine rich repeat containing 39	1425
23433	RHOQ	ras homolog family member Q	4545
283897	C16orf54	chromosome 16 open reading frame 54	2598
91351	DDX60L	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like	3728
55349	CHDH	choline dehydrogenase	3650
9441	MED26	mediator complex subunit 26	2884.5
205717	KIAA2018	KIAA2018	13481.5
2835	GPR12	G protein-coupled receptor 12	2961
163351	GBP6	guanylate binding protein family, member 6	4706.5
28970	C11orf54	chromosome 11 open reading frame 54	2470
285941	C7orf71	chromosome 7 open reading frame 71	1958.5
644997	C1orf200	chromosome 1 open reading frame 200	1824
161635	CSNK1A1P1	casein kinase 1, alpha 1 pseudogene 1	1693
79768	KATNBL1	katanin p80 subunit B-like 1	1862
55714	TENM3	teneurin transmembrane protein 3	3485
147166	TRIM16L	tripartite motif containing 16-like	2052
400581	GRAPL	GRB2-related adaptor protein-like	971
8509	NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	2200.5
5256	PHKA2	phosphorylase kinase, alpha 2 (liver)	683
7697	ZNF138	zinc finger protein 138	2587
154822	LINC00689	long intergenic non-protein coding RNA 689	4823.5
125476	INO80C	INO80 complex subunit C	1038
9923	ZBTB40	zinc finger and BTB domain containing 40	8553
28992	MACROD1	MACRO domain containing 1	1267
56994	CHPT1	choline phosphotransferase 1	1603
80208	SPG11	spastic paraplegia 11 (autosomal recessive)	2887
57188	ADAMTSL3	ADAMTS-like 3	5963.5
4050	LTB	lymphotoxin beta (TNF superfamily, member 3)	873
3801	KIFC3	kinesin family member C3	3374
85463	ZC3H12C	zinc finger CCCH-type containing 12C	8811
122664	TPPP2	tubulin polymerization-promoting protein family member 2	799
253738	EBF3	early B-cell factor 3	3077.5
92140	MTDH	metadherin	7056
170370	FAM170B	family with sequence similarity 170, member B	1411
23365	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	6883
9096	TBX18	T-box 18	2663.5
387338	NSUN4	NOP2/Sun domain family, member 4	4576
100289635	ZNF605	zinc finger protein 605	6090
4297	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	1867
1314	COPA	coatomer protein complex, subunit alpha	5671
158062	LCN6	lipocalin 6	718
25939	SAMHD1	SAM domain and HD domain 1	1958.5
100048912	CDKN2B-AS1	CDKN2B antisense RNA 1	1835
10006	ABI1	abl-interactor 1	3505
253635	GPATCH11	G patch domain containing 11	1128.5
10245	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)	981
100130717	CECR5-AS1	CECR5 antisense RNA 1	484
29969	MDFIC	MyoD family inhibitor domain containing	2540.5
10856	RUVBL2	RuvB-like 2 (E. coli)	1538
11325	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	3466
642852	LOC642852	uncharacterized LOC642852	7167
100130958	SYCE1L	synaptonemal complex central element protein 1-like	641
100192378	ZFHX4-AS1	ZFHX4 antisense RNA 1	1713
55108	BSDC1	BSD domain containing 1	2918
694	BTG1	B-cell translocation gene 1, anti-proliferative	2096
284723	SLC25A34	solute carrier family 25, member 34	2409
25949	SYF2	SYF2 homolog, RNA splicing factor (S. cerevisiae)	1720.5
7553	ZNF7	zinc finger protein 7	2191
158399	ZNF483	zinc finger protein 483	1849
7171	TPM4	tropomyosin 4	2646
283070	LOC283070	uncharacterized LOC283070	2413
81855	SFXN3	sideroflexin 3	2816
548321	FAM27A	family with sequence similarity 27, member A	704
646762	LOC646762	uncharacterized LOC646762	5785
160418	TMTC3	transmembrane and tetratricopeptide repeat containing 3	4554
23317	DNAJC13	DnaJ (Hsp40) homolog, subfamily C, member 13	2325
64087	MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	2858
285093	CXXC11	CXXC finger protein 11	1800
51706	CYB5R1	cytochrome b5 reductase 1	1296
642826	BMS1P6	BMS1 pseudogene 6	1304
55048	VPS37C	vacuolar protein sorting 37 homolog C (S. cerevisiae)	2063.5
51247	PAIP2	poly(A) binding protein interacting protein 2	1507
389072	PLEKHM3	pleckstrin homology domain containing, family M, member 3	3759
5578	PRKCA	protein kinase C, alpha	5782.5
3909	LAMA3	laminin, alpha 3	5653
1729	DIAPH1	diaphanous homolog 1 (Drosophila)	4111
1745	DLX1	distal-less homeobox 1	2182
84144	SYDE2	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	4122.5
5787	PTPRB	protein tyrosine phosphatase, receptor type, B	10420
115825	WDFY2	WD repeat and FYVE domain containing 2	1429
84696	ABHD1	abhydrolase domain containing 1	1440
389634	LOC389634	uncharacterized LOC389634	1674.5
441108	C5orf56	chromosome 5 open reading frame 56	889
390790	ARL5C	ADP-ribosylation factor-like 5C	1067.5
4289	MKLN1	muskelin 1, intracellular mediator containing kelch motifs	10371.5
375056	MIA3	melanoma inhibitory activity family, member 3	4924
9133	CCNB2	cyclin B2	1327.5
55174	INTS10	integrator complex subunit 10	2549
79582	SPAG16	sperm associated antigen 16	2189
55370	PPP4R1L	protein phosphatase 4, regulatory subunit 1-like	2504
285331	CCDC66	coiled-coil domain containing 66	3133
51101	ZC2HC1A	zinc finger, C2HC-type containing 1A	3356
283601	LINC00523	long intergenic non-protein coding RNA 523	1629
349075	ZNF713	zinc finger protein 713	2469.5
51130	ASB3	ankyrin repeat and SOCS box containing 3	2014
25776	CBY1	chibby homolog 1 (Drosophila)	1134
25909	AHCTF1	AT hook containing transcription factor 1	7823
1268	CNR1	cannabinoid receptor 1 (brain)	5774
333929	SNAI3	snail homolog 3 (Drosophila)	1715
56956	LHX9	LIM homeobox 9	2276.5
285593	LOC285593	uncharacterized LOC285593	1603.5
9589	WTAP	Wilms tumor 1 associated protein	1703
93109	TMEM44	transmembrane protein 44	2319
221122	LOC221122	uncharacterized LOC221122	1240
339168	TMEM95	transmembrane protein 95	1152
92129	RIPPLY1	ripply1 homolog (zebrafish)	963.5
255104	TMCO4	transmembrane and coiled-coil domains 4	2268.5
2288	FKBP4	FK506 binding protein 4, 59kDa	3749
113263	GLCCI1	glucocorticoid induced transcript 1	4750
3092	HIP1	huntingtin interacting protein 1	7079
283314	C1RL-AS1	C1RL antisense RNA 1	3688.5
27303	RBMS3	RNA binding motif, single stranded interacting protein 3	2770
441212	RP9P	retinitis pigmentosa 9 pseudogene	1356
56172	ANKH	ankylosis, progressive homolog (mouse)	7658.5
60674	GAS5	growth arrest-specific 5 (non-protein coding)	848
89978	ATPBD4	ATP binding domain 4	2055
4139	MARK1	MAP/microtubule affinity-regulating kinase 1	5247
339788	LOC339788	uncharacterized LOC339788	2257.5
284353	NKPD1	NTPase, KAP family P-loop domain containing 1	4690
116933	CLRN1-AS1	CLRN1 antisense RNA 1	1691.5
1211	CLTA	clathrin, light chain A	1163
645191	LINGO3	leucine rich repeat and Ig domain containing 3	2132
9138	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	3138
440503	PLIN5	perilipin 5	2105.5
84698	CAPS2	calcyphosine 2	2586
83882	TSPAN10	tetraspanin 10	1718
2494	NR5A2	nuclear receptor subfamily 5, group A, member 2	4911
338588	LINC00705	long intergenic non-protein coding RNA 705	1012
148398	SAMD11	sterile alpha motif domain containing 11	2131
3096	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	8625
6814	STXBP3	syntaxin binding protein 3	2515
401562	LCNL1	lipocalin-like 1	1839
53336	CPXCR1	CPX chromosome region, candidate 1	1598.5
158833	AWAT1	acyl-CoA wax alcohol acyltransferase 1	1405
285205	LINC00636	long intergenic non-protein coding RNA 636	1307
353132	LCE1B	late cornified envelope 1B	1141
114044	MCM3AP-AS1	MCM3AP antisense RNA 1	2317
2868	GRK4	G protein-coupled receptor kinase 4	2191
9220	TIAF1	TGFB1-induced anti-apoptotic factor 1	2090
84725	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8	1897
58493	INIP	INTS3 and NABP interacting protein	1476
342926	ZNF677	zinc finger protein 677	3498
64881	PCDH20	protocadherin 20	5698
25824	PRDX5	peroxiredoxin 5	749
60598	KCNK15	potassium channel, subfamily K, member 15	1246
10241	CALCOCO2	calcium binding and coiled-coil domain 2	3294
121952	METTL21EP	methyltransferase like 21E, pseudogene	2316
7259	TSPYL1	TSPY-like 1	3534
283011	FLJ37201	tigger transposable element derived 2 pseudogene	3664
7075	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	2347
59342	SCPEP1	serine carboxypeptidase 1	1956
283514	SIAH3	siah E3 ubiquitin protein ligase family member 3	3994
606	NBEAP1	neurobeachin pseudogene 1	1793
3681	ITGAD	integrin, alpha D	2999.5
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	5145
113402	SFT2D1	SFT2 domain containing 1	696
79691	QTRTD1	queuine tRNA-ribosyltransferase domain containing 1	3637
283392	TRHDE-AS1	TRHDE antisense RNA 1	3162
201229	LYRM9	LYR motif containing 9	1586.5
4739	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	4641
283856	LOC283856	uncharacterized LOC283856	2683
132724	TMPRSS11B	transmembrane protease, serine 11B	2654
283208	P4HA3	prolyl 4-hydroxylase, alpha polypeptide III	2281
8569	MKNK1	MAP kinase interacting serine/threonine kinase 1	2584.5
283731	LOC283731	uncharacterized LOC283731	2568
399671	HEATR4	HEAT repeat containing 4	3182.5
29880	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase	1221
26190	FBXW2	F-box and WD repeat domain containing 2	9117
112616	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	1306
116447	TOP1MT	topoisomerase (DNA) I, mitochondrial	1902
285834	HCG22	HLA complex group 22 (non-protein coding)	5276
26986	PABPC1	poly(A) binding protein, cytoplasmic 1	2600
9229	DLGAP1	discs, large (Drosophila) homolog-associated protein 1	2429
374900	ZNF568	zinc finger protein 568	2624
144132	DNHD1	dynein heavy chain domain 1	2832.5
8444	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2169
5860	QDPR	quinoid dihydropteridine reductase	1562
55567	DNAH3	dynein, axonemal, heavy chain 3	4718
58504	ARHGAP22	Rho GTPase activating protein 22	2628
340017	LOC340017	uncharacterized LOC340017	1387
196475	RMST	rhabdomyosarcoma 2 associated transcript (non-protein coding)	1381
222826	FAM217A	family with sequence similarity 217, member A	2202
664701	ZNF826P	zinc finger protein 826, pseudogene	1103
51427	ZNF107	zinc finger protein 107	5374.5
84766	EFCAB4B	EF-hand calcium binding domain 4B	2535.5
83849	SYT15	synaptotagmin XV	3104
54089	LINC00112	long intergenic non-protein coding RNA 112	526
6568	SLC17A1	solute carrier family 17 (sodium phosphate), member 1	1640
386678	KRTAP10-11	keratin associated protein 10-11	1235
23333	DPY19L1	dpy-19-like 1 (C. elegans)	617
169841	ZNF169	zinc finger protein 169	2718
6251	RSU1	Ras suppressor protein 1	3703.5
5226	PGD	phosphogluconate dehydrogenase	1951
163742	SLC25A3P1	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 pseudogene 1"	926
4842	NOS1	nitric oxide synthase 1 (neuronal)	3718
23786	BCL2L13	BCL2-like 13 (apoptosis facilitator)	3058
4129	MAOB	monoamine oxidase B	2528
79905	TMC7	transmembrane channel-like 7	3583
347344	ZNF81	zinc finger protein 81	7939
57690	TNRC6C	trinucleotide repeat containing 6C	6777.5
57038	RARS2	arginyl-tRNA synthetase 2, mitochondrial	1850
64770	CCDC14	coiled-coil domain containing 14	4225.5
152024	LINC00691	long intergenic non-protein coding RNA 691	2607.5
23243	ANKRD28	ankyrin repeat domain 28	3648
7296	TXNRD1	thioredoxin reductase 1	3584
4811	NID1	nidogen 1	5490
153910	LOC153910	uncharacterized LOC153910	2321
2070	EYA4	eyes absent homolog 4 (Drosophila)	5644.5
387601	SLC22A25	solute carrier family 22, member 25	1729.5
285419	LOC285419	uncharacterized LOC285419	2211
5010	CLDN11	claudin 11	2433
100131814	LINC00271	long intergenic non-protein coding RNA 271	731
25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	3316.5
60625	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	3319.5
2996	GYPE	glycophorin E (MNS blood group)	1692
55737	VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	3998
245911	DEFB108B	defensin, beta 108B	223
155185	AMZ1	archaelysin family metallopeptidase 1	4203
246122	TTTY7	testis-specific transcript, Y-linked 7 (non-protein coding)	1115
51265	CDKL3	cyclin-dependent kinase-like 3	1538
57563	KLHL8	kelch-like family member 8	4358
2829	XCR1	chemokine (C motif) receptor 1	1313.5
5828	PEX2	peroxisomal biogenesis factor 2	4292.5
284186	TMEM105	transmembrane protein 105	3320
100128285	DNM1P35	DNM1 pseudogene 35	5245.5
648691	LOC648691	uncharacterized LOC648691	3107
441151	TMEM151B	transmembrane protein 151B	3244
114899	C1QTNF3	C1q and tumor necrosis factor related protein 3	3558
9771	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	1553
348254	CCDC144C	coiled-coil domain containing 144C	4220
80005	DOCK5	dedicator of cytokinesis 5	4675.5
100128554	LOC100128554	uncharacterized LOC100128554	2200.5
10352	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	2749
161497	STRC	stereocilin	3506
2562	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	5732
401288	LINC00242	long intergenic non-protein coding RNA 242	2420
147409	DSG4	desmoglein 4	3624
344905	ATP13A5	ATPase type 13A5	3685
1776	DNASE1L3	deoxyribonuclease I-like 3	1278
200081	TXLNA	taxilin alpha	4913.5
285349	ZNF660	zinc finger protein 660	2208
8829	NRP1	neuropilin 1	5627
285796	PACRG-AS1	PACRG antisense RNA 1	2130
374470	C12orf42	chromosome 12 open reading frame 42	1516
284661	LOC284661	uncharacterized LOC284661	2080
85449	KIAA1755	KIAA1755	4319
285220	EPHA6	EPH receptor A6	1695
285627	LOC285627	uncharacterized LOC285627	2019
402381	SOHLH1	spermatogenesis and oogenesis specific basic helix-loop-helix 1	1704.5
116984	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	3133
11086	ADAM29	ADAM metallopeptidase domain 29	3234.5
9720	CCDC144A	coiled-coil domain containing 144A	5444
55843	ARHGAP15	Rho GTPase activating protein 15	1177
404744	NPSR1-AS1	NPSR1 antisense RNA 1	834
348180	CTU2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	1706
2864	FFAR1	free fatty acid receptor 1	924
8082	SSPN	sarcospan	2435.5
283914	LOC283914	uncharacterized LOC283914	2093
6285	S100B	S100 calcium binding protein B	1185.5
285501	LOC285501	uncharacterized LOC285501	1043
401612	SLC25A53	solute carrier family 25, member 53	6225
1102	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	2738
285692	LOC285692	uncharacterized LOC285692	1170
6886	TAL1	T-cell acute lymphocytic leukemia 1	2263
8678	BECN1	beclin 1, autophagy related	2141.5
114796	PSMG3-AS1	PSMG3 antisense RNA 1 (head to head)	5702
285735	LINC00326	long intergenic non-protein coding RNA 326	1862.5
150185	LOC150185	uncharacterized LOC150185	1131
9400	RECQL5	RecQ protein-like 5	2728
4585	MUC4	mucin 4, cell surface associated	3845.5
6334	SCN8A	sodium channel, voltage gated, type VIII, alpha subunit	2261
643677	CCDC168	coiled-coil domain containing 168	21473
200035	NUDT17	nudix (nucleoside diphosphate linked moiety X)-type motif 17	1486.5
100133669	LOC100133669	uncharacterized LOC100133669	1233.5
400709	SIGLEC16	sialic acid binding Ig-like lectin 16 (gene/pseudogene)	1153.5
94120	SYTL3	synaptotagmin-like 3	2295
170371	C10orf128	chromosome 10 open reading frame 128	550
160365	CLECL1	C-type lectin-like 1	853.5
9953	HS3ST3B1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	2034
51639	SF3B14	splicing factor 3B, 14 kDa subunit	714
389161	ANKUB1	ankyrin repeat and ubiquitin domain containing 1	2367
79659	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1	13767
80219	COQ10B	coenzyme Q10 homolog B (S. cerevisiae)	1939.5
159963	SLC5A12	solute carrier family 5 (sodium/glucose cotransporter), member 12	5741
266695	PHF2P1	PHD finger protein 2 pseudogene 1	4606
6629	SNRPB2	small nuclear ribonucleoprotein polypeptide B	1238
131368	ZPLD1	zona pellucida-like domain containing 1	3745
6601	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	5428
284798	LOC284798	uncharacterized LOC284798	2509.5
317761	C14orf39	chromosome 14 open reading frame 39	2491.5
79890	RIN3	Ras and Rab interactor 3	3758
896	CCND3	cyclin D3	1847
3717	JAK2	Janus kinase 2	5118
152225	LOC152225	uncharacterized LOC152225	2055
139420	SMEK3P	SMEK homolog 3, suppressor of mek1 (Dictyostelium) pseudogene	3132
286144	TRIQK	triple QxxK/R motif containing	3496
92292	GLYATL1	glycine-N-acyltransferase-like 1	2240.5
7871	SLMAP	sarcolemma associated protein	3081
7643	ZNF90	zinc finger protein 90	1982
23517	SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	4126.5
245935	DEFB122	defensin, beta 122 (pseudogene)	493
285429	DCAF4L1	DDB1 and CUL4 associated factor 4-like 1	4773
126069	ZNF491	zinc finger protein 491	2826
221806	VWDE	von Willebrand factor D and EGF domains	5612
23522	KAT6B	K(lysine) acetyltransferase 6B	7689.5
10208	USPL1	ubiquitin specific peptidase like 1	3508.5
129049	SGSM1	small G protein signaling modulator 1	6027
91584	PLXNA4	plexin A4	5621
147660	ZNF578	zinc finger protein 578	434
22861	NLRP1	NLR family, pyrin domain containing 1	5405
374618	TEX9	testis expressed 9	2999
8874	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	4780.5
1262	CNGA4	cyclic nucleotide gated channel alpha 4	3427
54212	SNTG1	syntrophin, gamma 1	1823
374860	ANKRD30B	ankyrin repeat domain 30B	3539
